구분,죄종,발생검거,건수
중부,살인,발생,1
중부,살인,검거,1
중부,강도,발생,4
중부,강도,검거,4
중부,강간,발생,127
중부,강간,검거,76
중부,절도,발생,1198
중부,절도,검거,574
중부,폭력,발생,1135
중부,폭력,검거,944
종로,살인,발생,2
종로,살인,검거,2
종로,강도,발생,5
종로,강도,검거,4
종로,강간,발생,152
종로,강간,검거,122
종로,절도,발생,816
종로,절도,검거,369
종로,폭력,발생,1248
종로,폭력,검거,1058
남대문,살인,발생,1
남대문,살인,검거,0
남대문,강도,발생,2
남대문,강도,검거,1
남대문,강간,발생,68
남대문,강간,검거,39
남대문,절도,발생,1004
남대문,절도,검거,476
남대문,폭력,발생,786
남대문,폭력,검거,688
서대문,살인,발생,2
서대문,살인,검거,1
서대문,강도,발생,5
서대문,강도,검거,5
서대문,강간,발생,175
서대문,강간,검거,154
서대문,절도,발생,1226
서대문,절도,검거,600
서대문,폭력,발생,1533
서대문,폭력,검거,1258
혜화,살인,발생,2
혜화,살인,검거,1
혜화,강도,발생,2
혜화,강도,검거,2
혜화,강간,발생,86
혜화,강간,검거,55
혜화,절도,발생,699
혜화,절도,검거,364
혜화,폭력,발생,832
혜화,폭력,검거,732
용산,살인,발생,3
용산,살인,검거,3
용산,강도,발생,3
용산,강도,검거,4
용산,강간,발생,272
용산,강간,검거,237
용산,절도,발생,999
용산,절도,검거,544
용산,폭력,발생,2035
용산,폭력,검거,1821
성북,살인,발생,2
성북,살인,검거,2
성북,강도,발생,0
성북,강도,검거,0
성북,강간,발생,117
성북,강간,검거,75
성북,절도,발생,442
성북,절도,검거,259
성북,폭력,발생,737
성북,폭력,검거,674
동대문,살인,발생,6
동대문,살인,검거,6
동대문,강도,발생,10
동대문,강도,검거,9
동대문,강간,발생,168
동대문,강간,검거,143
동대문,절도,발생,1531
동대문,절도,검거,827
동대문,폭력,발생,1975
동대문,폭력,검거,1831
마포,살인,발생,2
마포,살인,검거,2
마포,강도,발생,2
마포,강도,검거,2
마포,강간,발생,495
마포,강간,검거,417
마포,절도,발생,2190
마포,절도,검거,917
마포,폭력,발생,2153
마포,폭력,검거,1832
영등포,살인,발생,10
영등포,살인,검거,10
영등포,강도,발생,3
영등포,강도,검거,3
영등포,강간,발생,356
영등포,강간,검거,239
영등포,절도,발생,2409
영등포,절도,검거,1068
영등포,폭력,발생,3039
영등포,폭력,검거,2465
성동,살인,발생,6
성동,살인,검거,5
성동,강도,발생,9
성동,강도,검거,10
성동,강간,발생,133
성동,강간,검거,96
성동,절도,발생,970
성동,절도,검거,511
성동,폭력,발생,1392
성동,폭력,검거,1214
동작,살인,발생,4
동작,살인,검거,2
동작,강도,발생,1
동작,강도,검거,1
동작,강간,발생,251
동작,강간,검거,110
동작,절도,발생,1328
동작,절도,검거,579
동작,폭력,발생,1816
동작,폭력,검거,1503
광진,살인,발생,4
광진,살인,검거,5
광진,강도,발생,6
광진,강도,검거,5
광진,강간,발생,273
광진,강간,검거,213
광진,절도,발생,1875
광진,절도,검거,1008
광진,폭력,발생,1852
광진,폭력,검거,1584
서부,살인,발생,1
서부,살인,검거,1
서부,강도,발생,0
서부,강도,검거,0
서부,강간,발생,62
서부,강간,검거,56
서부,절도,발생,624
서부,절도,검거,422
서부,폭력,발생,843
서부,폭력,검거,747
강북,살인,발생,6
강북,살인,검거,6
강북,강도,발생,3
강북,강도,검거,2
강북,강간,발생,176
강북,강간,검거,145
강북,절도,발생,1229
강북,절도,검거,664
강북,폭력,발생,2422
강북,폭력,검거,2204
금천,살인,발생,6
금천,살인,검거,6
금천,강도,발생,10
금천,강도,검거,6
금천,강간,발생,153
금천,강간,검거,126
금천,절도,발생,1157
금천,절도,검거,615
금천,폭력,발생,1776
금천,폭력,검거,1588
중랑,살인,발생,10
중랑,살인,검거,10
중랑,강도,발생,4
중랑,강도,검거,5
중랑,강간,발생,138
중랑,강간,검거,108
중랑,절도,발생,1666
중랑,절도,검거,908
중랑,폭력,발생,2447
중랑,폭력,검거,2104
강남,살인,발생,3
강남,살인,검거,2
강남,강도,발생,3
강남,강도,검거,3
강남,강간,발생,496
강남,강간,검거,411
강남,절도,발생,2003
강남,절도,검거,878
강남,폭력,발생,2182
강남,폭력,검거,1877
관악,살인,발생,13
관악,살인,검거,10
관악,강도,발생,10
관악,강도,검거,11
관악,강간,발생,408
관악,강간,검거,335
관악,절도,발생,2223
관악,절도,검거,1085
관악,폭력,발생,2667
관악,폭력,검거,2363
강서,살인,발생,8
강서,살인,검거,9
강서,강도,발생,3
강서,강도,검거,4
강서,강간,발생,306
강서,강간,검거,257
강서,절도,발생,2050
강서,절도,검거,1077
강서,폭력,발생,2555
강서,폭력,검거,2192
강동,살인,발생,6
강동,살인,검거,5
강동,강도,발생,15
강동,강도,검거,14
강동,강간,발생,180
강동,강간,검거,155
강동,절도,발생,1650
강동,절도,검거,907
강동,폭력,발생,2161
강동,폭력,검거,1873
종암,살인,발생,1
종암,살인,검거,1
종암,강도,발생,3
종암,강도,검거,3
종암,강간,발생,59
종암,강간,검거,55
종암,절도,발생,640
종암,절도,검거,472
종암,폭력,발생,873
종암,폭력,검거,779
구로,살인,발생,10
구로,살인,검거,9
구로,강도,발생,3
구로,강도,검거,4
구로,강간,발생,226
구로,강간,검거,165
구로,절도,발생,1916
구로,절도,검거,965
구로,폭력,발생,2549
구로,폭력,검거,2145
서초,살인,발생,4
서초,살인,검거,4
서초,강도,발생,7
서초,강도,검거,5
서초,강간,발생,563
서초,강간,검거,376
서초,절도,발생,1867
서초,절도,검거,904
서초,폭력,발생,2141
서초,폭력,검거,1763
양천,살인,발생,6
양천,살인,검거,6
양천,강도,발생,2
양천,강도,검거,2
양천,강간,발생,127
양천,강간,검거,112
양천,절도,발생,1477
양천,절도,검거,634
양천,폭력,발생,1602
양천,폭력,검거,1369
송파,살인,발생,7
송파,살인,검거,8
송파,강도,발생,10
송파,강도,검거,10
송파,강간,발생,273
송파,강간,검거,230
송파,절도,발생,2416
송파,절도,검거,1016
송파,폭력,발생,2989
송파,폭력,검거,2535
노원,살인,발생,4
노원,살인,검거,4
노원,강도,발생,3
노원,강도,검거,3
노원,강간,발생,184
노원,강간,검거,158
노원,절도,발생,1498
노원,절도,검거,681
노원,폭력,발생,2461
노원,폭력,검거,2116
방배,살인,발생,1
방배,살인,검거,1
방배,강도,발생,0
방배,강도,검거,0
방배,강간,발생,53
방배,강간,검거,36
방배,절도,발생,403
방배,절도,검거,214
방배,폭력,발생,495
방배,폭력,검거,441
은평,살인,발생,2
은평,살인,검거,2
은평,강도,발생,1
은평,강도,검거,1
은평,강간,발생,132
은평,강간,검거,106
은평,절도,발생,941
은평,절도,검거,555
은평,폭력,발생,1271
은평,폭력,검거,1109
도봉,살인,발생,1
도봉,살인,검거,1
도봉,강도,발생,5
도봉,강도,검거,5
도봉,강간,발생,90
도봉,강간,검거,83
도봉,절도,발생,790
도봉,절도,검거,394
도봉,폭력,발생,1224
도봉,폭력,검거,1014
수서,살인,발생,2
수서,살인,검거,1
수서,강도,발생,2
수서,강도,검거,3
수서,강간,발생,170
수서,강간,검거,151
수서,절도,발생,967
수서,절도,검거,461
수서,폭력,발생,1470
수서,폭력,검거,1276
